"","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","scores","scores2","g6.composite","g6.rowsums"
"76",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"77",0,0,0,0,0,0,0,0,0,0
"78",0,7,0,0,0,5,2,2,2,2
"79",NA,NA,0,0,0,0,0,0.333333333333333,0,0
"80",2,2,9,2,9,9,5.5,5.5,5.5,5.5
"81",0,0,0,0,0,NA,0,1.16666666666667,0,0
"82",2,1,1,1,7,5,2.83333333333333,2.83333333333333,2.83333333333333,2.83333333333333
"83",NA,NA,NA,NA,NA,9,9,2.66666666666667,9,1.5
"84",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"85",NA,NA,NA,NA,NA,10,10,2.83333333333333,10,1.66666666666667
"86",4,0,1,1,4,3,2.16666666666667,2.16666666666667,2.16666666666667,2.16666666666667
"87",0,0,2,0,3,4,1.5,1.5,1.5,1.5
"88",NA,NA,NA,NA,NA,9,9,2.66666666666667,9,1.5
"89",NA,NA,NA,NA,9,9,9,3.66666666666667,9,3
"90",8,8,8,8,6,7,7.5,7.5,7.5,7.5
"91",2,5,2,4,5,3,3.5,3.5,3.5,3.5
"92",NA,NA,NA,NA,NA,5,5,2,5,0.833333333333333
"93",3,3,3,2,3,7,3.5,3.5,3.5,3.5
"94",0,0,0,0,0,4,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"95",4,0,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"96",0,0,0,0,0,8,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"97",1,1,8,1,6,7,4,4,4,4
"98",10,2,2,1,3,3,3.5,3.5,3.5,3.5
"99",NA,0,NA,NA,NA,7,3.5,2.33333333333333,3.5,1.16666666666667
"100",4,5,6,6,8,8,6.16666666666667,6.16666666666667,6.16666666666667,6.16666666666667
"101",0,0,3,1,8,7,3.16666666666667,3.16666666666667,3.16666666666667,3.16666666666667
"102",7,7,7,0,6,7,5.66666666666667,5.66666666666667,5.66666666666667,5.66666666666667
"103",0,0,0,0,1,NA,0.2,1.33333333333333,0.2,0.166666666666667
"104",NA,7,0,0,7,10,4.8,4.33333333333333,4.8,4
"105",0,2,10,0,9,8,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"106",0,0,2,0,1,3,1,1,1,1
"107",6,4,8,4,6,8,6,6,6,6
"108",6,3,0,0,4,4,2.83333333333333,2.83333333333333,2.83333333333333,2.83333333333333
"109",5,3,10,3,7,4,5.33333333333333,5.33333333333333,5.33333333333333,5.33333333333333
"110",5,6,2,NA,5,3,4.2,3.5,4.2,3.5
"111",2,0,0,0,4,6,2,2,2,2
"112",7,5,7,7,4,6,6,6,6,6
"113",1,0,1,0,1,3,1,1,1,1
"114",10,6,10,8,8,10,8.66666666666667,8.66666666666667,8.66666666666667,8.66666666666667
"115",9,1,1,1,1,9,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
"116",2,0,0,0,2,8,2,2,2,2
"117",0,4,0,0,4,4,2,2,2,2
"118",NA,NA,7,NA,8,10,8.33333333333333,4.5,8.33333333333333,4.16666666666667
"119",1,3,3,NA,0,0,1.4,1.16666666666667,1.4,1.16666666666667
"120",10,2,NA,NA,5,8,6.25,4.5,6.25,4.16666666666667
"121",7,0,0,0,0,7,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
"122",2,2,7,0,5,3,3.16666666666667,3.16666666666667,3.16666666666667,3.16666666666667
"123",NA,NA,10,3,7,8,7,5,7,4.66666666666667
"124",0,0,0,0,0,0,0,0,0,0
"125",NA,NA,NA,NA,NA,10,10,2.83333333333333,10,1.66666666666667
"126",0,0,0,0,0,10,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
